Earnings,Ethnicity,Sex,Height,Education,Age
17000,Hispanic,Female,66,14,43
32000,White,Male,77,16,30
27500,White,Female,67,12,58
16500,White,Female,62,12,44
25000,White,Female,67,18,35
27000,White,Female,61,18,43
5000,White,Female,64,12,28
70000,White,Female,62,16,38
5000,White,Female,63,12,40
5000,White,Male,68,16,24
20000,White,Female,64,15,26
4000,White,Male,72,15,21
60000,White,Female,64,16,35
5000,White,Female,61,13,31
30000,White,Male,74,12,38
70000,White,Male,70,14,35
50000,White,Male,71,16,41
44000,White,Female,63,12,39
30000,White,Female,64,14,43
10000,White,Female,62,16,40
23000,White,Female,70,17,42
45000,White,Male,71,17,62
15000,White,Male,71,14,31
17000,White,Male,67,14,31
30000,White,Female,64,12,32
27500,White,Female,67,12,30
18000,Hispanic,Female,62,13,56
43000,Black,Male,68,13,44
32000,Black,Female,62,14,44
10000,Black,Female,68,18,56
60000,White,Male,74,13,45
21000,Other,Female,68,12,50
2400,White,Female,62,16,22
1000,White,Female,66,15,28
27000,White,Male,68,12,27
6600,Hispanic,Female,60,14,28
16000,White,Male,68,8,43
90000,White,Male,72,12,26
8000,White,Female,66,12,42
20000,White,Male,68,10,32
15000,White,Female,68,12,18
12000,White,Female,69,12,60
24000,White,Female,64,16,46
20000,White,Female,65,14,39
19000,White,Female,61,12,46
10000,White,Male,72,12,49
40000,White,Female,66,16,34
25000,White,Male,68,14,64
25000,White,Male,70,12,24
25000,White,Male,71,14,32
19000,White,Male,71,16,61
44000,White,Male,68,16,48
15000,White,Female,60,14,49
17000,White,Female,63,12,36
24000,White,Male,68,12,56
23000,White,Female,64,12,37
65000,White,Male,68,16,46
7000,White,Female,61,12,63
40000,White,Male,68,18,63
15000,White,Female,66,17,43
20000,White,Male,70,16,25
20000,White,Male,71,12,50
20000,White,Female,65,12,42
25000,White,Female,66,12,49
49000,White,Male,70,13,37
11000,White,Female,66,14,57
16000,White,Female,61,15,38
35000,White,Male,72,14,43
125000,White,Male,74,18,45
23000,White,Female,67,12,47
17000,White,Female,66,16,28
27000,White,Female,62,12,41
70000,White,Male,72,14,32
35000,White,Female,65,15,47
10000,White,Female,60,12,62
35000,White,Female,62,15,39
15000,White,Female,66,12,38
12000,White,Female,64,12,39
8000,White,Female,65,12,50
35000,White,Male,73,18,50
45000,White,Male,69,11,51
15000,White,Female,64,14,22
24000,White,Female,67,18,51
25000,White,Female,62,13,32
25000,Black,Female,63,14,54
20000,Other,Male,67,10,28
24000,White,Female,68,12,24
44000,White,Male,72,16,46
69000,White,Male,70,12,38
62000,White,Male,70,18,44
32000,Black,Male,67,14,32
20000,Black,Female,63,12,33
32000,Other,Female,66,18,35
25000,White,Female,66,17,50
170000,White,Male,71,18,45
35000,White,Male,67,16,33
40000,Black,Male,76,16,38
33000,White,Male,69,14,30
18000,White,Female,65,12,22
30000,White,Female,62,13,43
26000,White,Female,62,12,31
5000,White,Female,62,12,21
17000,White,Female,61,12,30
32000,White,Female,65,14,28
15000,White,Male,72,14,22
50000,White,Male,72,14,55
8000,White,Female,64,12,39
40000,White,Male,71,14,51
40000,White,Male,72,15,41
32750,White,Male,66,12,34
36000,Black,Female,65,15,39
6000,White,Female,62,12,64
12000,Black,Female,66,14,34
60000,White,Male,67,14,63
40000,White,Female,64,13,44
43000,White,Female,63,12,38
45000,White,Female,67,16,34
6000,White,Female,68,18,39
20000,Black,Female,64,13,39
17000,Black,Male,66,12,23
2000,White,Female,65,12,32
65000,White,Male,65,12,28
50000,White,Male,72,12,41
11000,White,Female,68,12,38
35000,White,Male,74,18,30
27000,White,Male,63,12,33
3500,White,Female,64,12,61
42000,White,Male,68,12,37
20000,White,Female,67,18,29
15000,White,Female,67,12,29
10000,White,Male,73,12,21
17000,Hispanic,Female,65,16,23
28000,White,Male,77,14,28
15000,White,Female,68,12,33
20000,White,Female,62,17,24
20000,White,Female,64,12,29
10500,Hispanic,Male,67,12,42
13000,White,Male,70,16,22
10000,White,Female,62,12,52
3000,White,Female,63,12,37
24000,White,Female,62,14,29
17000,White,Female,69,13,35
11000,White,Female,64,12,48
32000,White,Female,69,14,40
17000,White,Female,59,15,26
3000,Other,Female,66,12,35
2100,Black,Female,62,12,21
3192,Black,Male,75,11,34
17000,White,Female,63,17,26
30000,White,Female,65,13,28
15000,White,Male,70,12,32
24000,White,Female,68,16,42
50000,White,Male,69,8,53
50000,White,Male,72,16,53
20000,White,Female,64,17,49
30000,Hispanic,Female,63,18,54
22000,White,Female,73,14,45
27000,White,Male,75,12,24
4000,White,Female,65,12,38
17500,White,Female,66,17,26
16500,White,Female,66,14,28
28000,White,Female,64,16,39
52000,White,Female,66,18,50
15000,White,Female,64,16,29
19000,White,Female,63,13,32
27000,White,Male,73,12,23
15000,White,Male,72,8,58
15000,White,Male,72,14,33
14500,White,Female,64,12,55
24000,White,Female,64,13,30
18000,White,Male,68,15,36
4000,White,Female,69,13,57
700,White,Female,60,12,36
27000,White,Male,76,12,39
12000,White,Female,72,12,35
22000,White,Female,62,18,47
30000,White,Female,62,13,36
35000,White,Male,71,12,61
20000,White,Male,74,12,42
32000,White,Female,65,16,32
6000,Other,Female,63,12,31
12000,White,Female,67,12,39
10000,White,Female,63,12,31
1000,White,Female,65,12,18
16000,White,Female,65,12,36
25000,White,Female,63,16,33
25000,White,Female,70,12,27
32000,White,Male,68,12,30
35000,White,Male,67,14,43
6000,White,Female,65,12,28
80000,White,Male,69,14,44
20000,White,Female,68,14,25
1000,White,Female,66,17,38
28000,Hispanic,Male,71,13,38
26000,Hispanic,Male,64,16,23
27000,White,Male,74,12,24
18000,White,Female,62,13,41
2000,White,Female,65,12,59
6000,White,Female,66,16,48
25000,White,Male,67,11,63
12000,White,Male,73,12,29
12000,White,Male,76,12,57
4000,Black,Female,63,15,22
26000,Black,Female,63,13,37
23000,Black,Male,70,12,35
21000,White,Male,71,12,33
25000,White,Female,65,12,62
4000,White,Female,63,13,44
23900,White,Female,64,12,22
35000,White,Female,64,18,40
26000,White,Male,67,14,30
25000,White,Male,66,16,36
23500,White,Female,68,13,27
12000,White,Female,65,12,22
15000,White,Female,67,12,20
3000,White,Male,73,17,23
15000,White,Female,63,16,31
175000,White,Male,71,16,48
1000,White,Male,73,18,25
10000,White,Female,65,14,63
20000,White,Female,59,13,41
35000,White,Male,70,16,30
40000,White,Male,72,16,28
50000,White,Female,66,16,54
1.00E+05,White,Male,70,18,57
35000,White,Male,69,13,28
24000,White,Female,68,12,35
35000,White,Male,74,17,43
30000,White,Male,67,12,52
5000,Hispanic,Female,64,12,39
148000,White,Male,67,18,38
30000,White,Male,70,12,32
6500,White,Female,64,15,31
3000,White,Female,62,16,37
40000,White,Male,68,17,41
30000,White,Male,72,14,39
14000,White,Female,63,12,37
15000,White,Female,69,12,34
26000,White,Female,64,18,36
8000,White,Female,71,12,25
24000,Black,Female,64,16,27
10000,White,Female,61,15,25
12000,White,Female,68,16,32
50000,White,Male,68,17,34
23000,White,Female,64,13,26
40000,Black,Male,66,14,34
6000,Black,Female,62,13,26
5000,Black,Female,65,16,30
110000,White,Male,66,18,37
41000,Hispanic,Male,72,13,32
21000,White,Male,70,12,23
4000,White,Female,62,12,29
25000,White,Male,71,12,36
30000,White,Male,70,18,46
14000,White,Female,64,11,51
6000,White,Female,63,12,35
14000,White,Female,65,12,46
43000,White,Male,71,12,27
25000,White,Female,62,15,33
65000,White,Male,68,17,40
16000,White,Male,76,15,32
20000,White,Female,64,15,39
12000,White,Male,66,12,28
8000,White,Female,63,14,31
16000,White,Female,63,15,32
19000,White,Male,70,12,32
21000,White,Female,68,13,39
43000,White,Female,70,18,46
35000,White,Male,69,15,21
21000,White,Female,63,14,41
5800,White,Female,65,12,30
17000,White,Male,69,12,46
24000,White,Male,68,14,49
11000,White,Female,66,12,23
10000,White,Male,65,13,27
40000,White,Male,70,14,36
40000,White,Male,70,12,47
24000,Black,Female,66,14,29
24000,White,Male,68,16,26
20000,White,Male,68,16,33
60000,White,Male,70,18,50
11000,White,Female,65,13,47
5000,White,Female,64,15,40
27000,White,Female,65,16,30
89000,White,Male,77,16,41
40000,White,Male,70,14,28
15000,White,Female,64,16,26
1000,White,Female,64,14,20
22000,White,Female,64,12,60
12000,White,Female,64,8,48
22000,White,Female,63,16,28
40000,Black,Female,58,12,56
40000,White,Female,62,16,44
35000,Hispanic,Female,64,14,53
7000,White,Female,64,12,28
14000,White,Female,62,12,37
15000,White,Female,64,12,56
6000,White,Female,66,13,34
11000,Black,Female,69,12,41
10000,White,Female,64,13,31
20000,White,Male,71,14,41
38000,White,Male,68,9,46
29000,White,Male,68,9,58
20000,White,Female,62,10,44
8000,White,Female,63,12,57
36000,White,Male,69,16,51
1500,White,Female,67,12,44
42000,White,Female,64,18,29
25000,White,Male,70,12,22
13000,White,Male,69,10,20
30000,Black,Male,69,11,51
7000,White,Male,69,12,23
31000,Black,Female,60,12,48
15000,Black,Female,66,12,42
50000,White,Male,67,16,49
5000,White,Male,66,15,20
600,Black,Female,70,12,18
14000,Black,Female,64,8,51
40000,Other,Female,60,18,35
24000,White,Male,68,18,36
22000,Black,Male,73,12,24
20000,White,Male,72,8,36
20112,White,Female,64,12,38
41000,White,Female,67,13,40
13000,Black,Male,71,9,50
60000,White,Male,73,16,31
24000,White,Male,70,16,25
38000,White,Male,70,16,36
3000,White,Female,71,14,27
13000,White,Female,66,12,30
5000,White,Male,75,12,21
20000,White,Female,60,14,37
22000,White,Male,72,12,28
28000,Black,Male,75,9,55
22000,White,Female,60,12,41
30000,Black,Male,73,12,44
30000,Black,Female,65,12,32
30000,White,Male,67,16,31
26000,White,Female,69,17,43
22000,White,Female,64,14,34
25000,White,Male,70,12,33
11000,White,Female,68,10,24
13000,White,Female,62,12,53
10000,White,Female,64,15,42
12000,White,Female,68,12,45
7000,White,Female,64,11,64
57000,White,Male,73,14,37
36000,White,Male,73,16,37
29000,Hispanic,Male,69,14,29
8000,White,Female,68,13,19
3000,Black,Male,71,11,18
20000,White,Female,66,16,41
33000,White,Male,66,12,57
16000,White,Male,70,12,33
8000,White,Female,66,14,43
32000,Black,Female,63,16,34
14500,White,Male,75,12,24
13000,White,Female,67,12,29
7000,White,Female,63,9,25
12000,Black,Female,69,12,35
19000,White,Male,71,14,61
9000,White,Female,62,12,55
20000,Black,Female,65,12,35
55000,Hispanic,Male,72,18,35
10000,White,Female,65,12,40
13000,White,Female,63,12,19
20000,White,Female,64,13,31
30000,White,Male,72,12,26
12000,White,Female,64,12,34
26000,White,Female,70,13,33
12500,White,Female,65,12,27
8000,White,Female,64,12,29
15000,Hispanic,Female,64,16,32
65000,White,Male,67,14,25
25000,White,Male,73,10,21
8000,Hispanic,Male,73,14,21
15000,Other,Male,65,14,21
12000,White,Female,64,16,40
35000,Black,Female,67,13,37
40000,White,Male,67,16,31
29000,White,Male,74,12,22
15000,White,Female,63,13,31
20000,White,Male,74,12,36
3000,Black,Male,74,6,62
1000,Black,Female,63,16,19
8000,Black,Female,62,11,23
5000,White,Female,62,12,18
25000,White,Female,67,16,27
20000,White,Male,69,12,57
30000,White,Male,73,12,34
12000,White,Female,63,12,35
10000,White,Female,67,14,32
16000,White,Male,69,12,19
45000,White,Male,71,12,29
40000,White,Male,72,14,54
19000,White,Female,64,14,52
17600,White,Female,64,16,30
30000,White,Male,74,12,32
18000,White,Female,62,11,47
25000,White,Female,65,16,47
6000,White,Female,60,5,62
70000,White,Male,69,18,42
15000,Other,Female,61,16,34
25000,White,Female,65,17,33
35000,White,Female,66,16,28
18000,White,Male,70,16,24
28000,Black,Male,72,15,30
15000,Hispanic,Female,64,11,21
22000,Hispanic,Male,71,14,28
35000,White,Male,73,12,30
18000,Black,Female,64,15,46
35000,White,Male,68,14,37
16400,Black,Female,64,12,21
22000,Black,Male,66,16,37
30000,White,Female,67,16,58
17000,Hispanic,Female,64,12,27
25000,Black,Female,64,14,36
10000,White,Female,62,12,51
40000,White,Male,69,12,37
12500,White,Female,63,12,63
35000,White,Male,72,15,45
105000,White,Male,75,12,49
1.00E+05,White,Male,70,18,40
21000,White,Male,69,12,51
10000,White,Female,64,14,56
33000,White,Male,72,12,26
26000,White,Male,69,18,25
18000,White,Male,71,16,45
15000,White,Female,59,8,61
5000,White,Male,68,13,20
60000,White,Male,77,17,42
28000,Black,Male,70,18,38
42000,White,Male,69,18,43
2000,White,Female,63,12,33
20000,Black,Male,73,18,33
28000,Other,Male,66,15,40
10000,Black,Male,72,17,62
31000,Black,Male,72,12,31
17000,Black,Female,69,13,37
16000,White,Female,67,12,39
35000,White,Female,66,15,38
3000,White,Female,67,12,26
16000,White,Female,68,18,39
35000,Black,Female,65,15,42
27000,Black,Female,62,17,33
25000,White,Male,69,17,29
40000,White,Male,70,16,41
45000,White,Female,66,16,43
14000,White,Male,66,12,23
25000,White,Female,66,14,37
40000,White,Male,72,12,42
34000,White,Male,69,12,35
40000,White,Male,66,12,34
35000,White,Male,69,14,28
12000,Hispanic,Female,60,12,51
30000,White,Female,65,17,43
23000,White,Female,62,12,40
2000,White,Female,67,12,30
20000,White,Male,67,14,25
10000,Black,Female,68,9,62
60000,Black,Female,66,16,43
12000,Black,Male,74,16,41
25000,White,Female,65,18,61
8000,White,Male,68,17,25
2000,White,Female,66,16,21
18600,White,Female,65,16,26
20000,White,Female,62,14,20
1.00E+05,White,Male,73,18,37
50000,White,Female,62,15,40
27000,White,Male,70,12,42
1000,Black,Female,58,12,58
18000,White,Male,68,12,20
17000,White,Female,67,14,23
14000,White,Male,70,14,35
33000,White,Female,63,17,39
23000,White,Male,66,12,34
10000,White,Female,65,12,41
22000,White,Male,61,12,24
13000,Hispanic,Female,61,12,19
33000,White,Female,67,12,31
36000,White,Male,73,12,36
10000,Black,Female,71,14,32
6000,White,Female,64,12,60
12000,White,Female,67,12,43
10000,White,Female,62,11,47
21000,White,Female,67,12,45
26000,White,Male,69,12,32
22000,Black,Female,66,12,50
23000,Black,Female,66,15,54
20000,White,Male,66,15,24
10000,White,Female,66,13,38
7000,Black,Male,72,14,24
15000,White,Female,64,12,38
26000,White,Female,65,16,34
10000,White,Male,72,11,31
3000,White,Male,71,14,20
27000,Hispanic,Female,64,17,41
28000,White,Female,64,17,25
15000,White,Female,67,12,27
55000,White,Male,75,18,30
20000,Hispanic,Female,66,17,26
8500,White,Female,67,12,44
30000,White,Male,71,16,30
20000,White,Female,68,12,31
25000,White,Male,67,16,26
3000,White,Male,71,8,22
16000,White,Female,63,12,49
10000,Black,Female,61,12,39
15000,Black,Female,65,12,28
28000,White,Male,67,12,46
31500,White,Male,65,14,35
95000,White,Male,66,18,52
38000,White,Male,67,12,40
30000,White,Male,74,12,41
35900,White,Male,74,16,42
12000,White,Female,66,13,22
10000,White,Female,69,16,25
45000,White,Female,66,18,44
40000,White,Male,74,16,56
21500,White,Male,72,12,27
14000,White,Male,66,12,62
38000,Other,Male,67,17,54
1000,White,Female,65,12,18
15000,White,Female,65,12,31
24000,White,Female,68,13,42
4500,White,Female,64,16,23
18000,White,Female,64,16,63
14000,White,Female,63,12,20
10000,White,Female,69,12,28
9500,White,Female,67,12,32
6000,White,Female,60,13,28
2500,White,Female,62,11,58
40000,White,Male,72,16,41
25000,White,Male,67,16,39
28000,Black,Female,66,15,60
33000,Black,Female,66,12,45
4000,White,Female,60,8,64
4100,White,Male,65,16,30
32000,White,Male,72,12,28
13000,White,Female,64,8,58
8000,Hispanic,Male,64,8,27
17000,White,Female,64,12,38
18000,White,Male,66,13,32
12000,White,Male,73,12,24
7000,White,Male,74,7,49
1200,White,Female,65,14,22
14000,White,Male,63,12,21
17000,White,Female,63,12,40
30000,White,Male,66,12,42
25000,White,Male,70,12,53
22000,Hispanic,Female,66,12,33
15000,White,Female,63,12,21
20000,White,Female,63,16,26
9000,White,Female,69,11,34
17000,White,Male,73,12,30
1800,White,Female,68,12,46
18000,White,Female,64,12,46
25000,White,Female,63,18,42
20000,Black,Male,70,16,41
75000,White,Female,64,15,40
3500,White,Female,66,12,40
30000,White,Male,72,12,25
1000,White,Female,64,14,26
9000,White,Male,67,13,33
11000,White,Female,66,10,58
12000,White,Male,71,12,52
30000,White,Male,71,12,43
19000,Black,Male,71,7,57
9000,White,Male,74,9,61
30000,White,Male,75,16,29
9000,White,Male,72,12,32
15000,Hispanic,Female,66,16,30
8000,Black,Female,65,12,31
33000,White,Male,72,12,37
12000,Hispanic,Female,60,12,28
18000,White,Female,64,15,37
30000,White,Female,65,13,61
12500,White,Female,65,12,32
10000,Black,Female,62,12,36
21000,Black,Male,73,14,46
21000,White,Female,68,17,25
5000,White,Female,66,12,52
22000,White,Female,71,17,36
30000,White,Male,73,14,26
123000,White,Female,61,14,58
8000,White,Female,63,9,45
2000,White,Female,64,9,25
7600,White,Female,67,6,62
10000,White,Female,63,12,25
35000,White,Male,73,12,48
15000,White,Female,66,16,57
4000,White,Female,70,12,22
16000,White,Male,68,8,24
200,White,Female,67,12,33
23000,White,Male,74,16,25
16000,White,Female,64,16,27
6000,White,Female,60,12,49
600,White,Female,59,9,46
28000,Other,Male,75,16,34
15000,White,Male,64,12,35
15000,White,Male,71,12,25
25000,White,Female,63,12,30
15000,White,Female,67,12,26
40000,White,Male,69,11,44
30000,White,Male,70,11,51
5000,White,Female,66,12,29
35000,White,Male,74,14,34
16000,White,Female,65,14,31
28000,White,Female,64,16,40
20000,White,Male,68,15,42
21000,White,Male,66,13,30
17000,Black,Male,69,12,42
24000,White,Female,60,13,50
40000,White,Male,75,12,46
8000,White,Female,64,13,19
19000,Hispanic,Female,63,15,45
5000,Black,Male,64,17,33
24000,Black,Female,63,14,40
5000,White,Female,67,14,19
33000,White,Male,66,16,34
24000,White,Female,65,14,24
6000,White,Female,63,13,23
90000,White,Female,66,14,55
57000,White,Female,64,18,47
13800,White,Male,71,14,54
30000,White,Male,71,18,37
15000,White,Male,72,12,40
31000,White,Male,70,12,29
33000,White,Male,74,17,40
30000,White,Male,68,18,61
12000,White,Male,74,12,38
5000,White,Male,75,12,22
21000,White,Male,68,12,59
28000,White,Female,63,18,46
12000,White,Male,72,12,31
19000,White,Female,64,12,46
6000,White,Female,63,14,35
5300,White,Female,66,13,60
15000,White,Female,61,13,28
17000,White,Male,73,12,46
1700,White,Male,65,12,22
5400,White,Female,62,12,31
10000,White,Male,68,12,31
35000,White,Female,68,16,43
28000,White,Female,63,18,44
42000,White,Female,63,12,40
45000,White,Male,68,12,58
55000,White,Female,64,12,51
36000,White,Female,70,16,30
25000,White,Male,70,10,31
19000,White,Male,72,12,28
38000,White,Male,69,11,50
15000,White,Female,63,14,37
96000,White,Female,63,14,27
11000,White,Female,63,12,47
9000,White,Male,73,15,34
5000,White,Female,69,14,24
50000,White,Male,70,12,51
6000,White,Female,65,13,44
1.00E+05,White,Male,72,13,22
16500,White,Female,62,13,46
32000,White,Male,72,14,40
30000,White,Male,73,18,41
10000,White,Female,68,16,42
15000,White,Female,66,12,19
26000,White,Female,60,18,63
17000,White,Female,65,12,59
22000,Other,Female,63,18,59
10000,White,Female,64,12,41
50000,White,Male,71,14,58
20000,White,Male,67,12,35
400,White,Female,63,12,31
16000,White,Female,65,14,59
14000,White,Female,63,13,58
5000,White,Female,65,15,20
40000,White,Male,74,16,34
5000,White,Female,67,13,55
25000,White,Female,68,17,47
12000,White,Female,65,12,51
58000,White,Female,64,16,34
18000,White,Female,68,16,26
1000,White,Male,65,12,18
21000,White,Male,72,17,47
11000,Black,Male,66,12,62
13000,White,Female,64,12,36
25000,Black,Male,72,12,35
600,White,Female,64,12,43
25000,Black,Male,67,14,26
36000,White,Male,68,12,28
15000,Other,Female,64,13,33
3500,White,Female,66,12,51
19005,White,Female,65,16,34
62000,White,Male,70,14,54
25000,White,Male,70,12,42
50000,White,Male,66,12,52
40000,White,Male,66,12,61
26000,White,Male,74,18,26
22000,White,Female,62,12,48
21000,White,Female,66,17,39
30000,Black,Female,65,18,64
27000,White,Male,71,16,29
4000,White,Female,66,16,42
45000,White,Male,67,18,40
18000,White,Female,61,14,45
6000,White,Female,66,15,22
14000,White,Male,72,12,24
35000,White,Female,69,14,24
15000,White,Female,64,16,29
12000,Black,Female,63,12,29
1000,White,Female,60,12,47
32000,Black,Male,70,15,33
1500,White,Male,73,12,19
3000,Black,Female,65,16,23
35000,White,Female,64,12,42
70000,White,Male,72,15,48
21000,White,Female,67,16,28
50000,White,Male,69,11,18
15000,White,Male,71,9,21
9000,Black,Female,66,8,35
10000,Black,Female,63,14,25
30000,White,Male,71,12,47
16000,White,Male,72,14,21
20000,White,Male,68,12,51
1.00E+05,White,Male,72,17,54
10000,White,Female,66,12,43
35000,White,Male,66,14,63
7000,White,Female,65,16,31
8000,Black,Male,71,14,27
11000,White,Male,74,10,50
25000,White,Male,70,9,47
25000,White,Female,64,14,45
30000,White,Male,69,14,48
48000,White,Female,63,18,34
17000,White,Female,68,12,46
26000,White,Male,73,16,24
10000,White,Female,63,12,61
60000,White,Male,71,18,53
22000,White,Female,65,18,29
24000,White,Female,65,16,32
20000,White,Male,71,14,40
7000,White,Female,70,14,30
30000,Black,Female,68,16,48
23000,White,Female,66,18,28
20000,White,Female,64,12,40
3000,White,Female,66,16,29
30000,White,Male,70,16,41
12000,White,Female,64,14,23
40000,White,Male,71,12,38
15000,White,Female,64,14,23
36000,White,Female,63,16,45
10000,White,Female,66,12,53
13000,White,Female,68,14,48
10000,Black,Female,62,12,27
30000,Black,Male,69,12,37
23000,White,Male,64,13,32
28000,Black,Male,64,14,63
20000,White,Male,69,11,23
25000,White,Male,74,12,30
25000,White,Female,68,13,52
18000,White,Female,67,16,40
16000,White,Male,72,13,23
45000,White,Male,73,16,38
12000,White,Female,64,14,38
2000,White,Female,68,12,18
10000,White,Female,63,12,18
14000,White,Male,71,12,36
15000,White,Female,64,12,31
10000,White,Female,60,12,39
1200,White,Female,66,4,64
15000,White,Female,59,14,62
10000,White,Female,63,13,64
2000,White,Male,66,12,18
4000,White,Female,65,13,33
10000,White,Female,64,14,32
1500,White,Female,66,12,23
18000,Hispanic,Male,66,17,26
4000,White,Male,73,15,24
28000,White,Male,72,16,26
10000,White,Female,74,14,22
3000,White,Female,65,16,22
12000,White,Male,71,12,21
19000,White,Female,68,13,45
36000,White,Male,70,16,39
7000,White,Female,64,16,59
35000,White,Female,59,11,34
40000,White,Male,68,18,43
15000,White,Male,68,14,25
8000,White,Female,69,13,43
25000,White,Female,69,14,55
28000,White,Male,75,18,38
22000,White,Male,69,14,35
21500,Black,Male,72,13,24
3000,White,Female,68,12,23
23000,White,Male,72,13,28
16000,Hispanic,Female,63,12,46
15000,White,Male,69,12,26
53000,Hispanic,Female,63,17,32
26000,White,Male,72,12,27
4000,Other,Female,65,12,28
10000,White,Male,73,16,59
43000,White,Male,69,12,51
17000,Other,Male,69,14,33
4000,Hispanic,Female,61,12,38
50000,White,Male,73,15,48
55000,White,Female,67,18,51
28000,White,Female,63,16,41
5000,White,Female,62,14,48
18000,White,Female,65,13,49
21000,Hispanic,Male,72,15,62
12000,White,Female,67,12,33
33000,Hispanic,Female,65,16,62
50000,Hispanic,Male,72,13,64
16000,White,Female,64,14,59
35000,White,Male,68,12,50
25000,White,Female,68,12,43
20000,White,Male,76,14,26
18000,White,Female,63,12,36
25000,White,Male,68,16,25
40000,White,Male,72,16,33
14000,White,Female,64,14,40
12000,White,Female,68,12,48
25000,White,Female,61,12,31
38000,White,Female,67,17,55
14000,White,Female,63,12,28
15000,White,Female,60,13,37
17000,White,Male,74,16,31
18000,Hispanic,Male,62,12,63
70000,White,Male,72,18,47
30000,White,Female,65,18,59
8000,White,Female,62,12,51
30000,White,Male,71,16,34
27000,White,Male,71,14,32
47000,White,Male,70,18,43
12000,Hispanic,Male,67,12,22
24000,White,Female,62,17,34
13000,Hispanic,Female,63,12,35
80000,White,Female,61,14,37
5000,White,Male,72,12,18
25000,White,Female,63,10,60
28000,White,Male,66,12,44
8000,White,Female,64,15,20
10000,White,Female,66,13,51
9000,White,Female,68,14,41
20000,White,Female,60,12,37
20000,White,Female,61,14,36
28000,White,Female,64,14,36
265,White,Female,66,15,21
26000,Hispanic,Female,66,14,32
27000,White,Female,67,17,34
14000,White,Female,68,12,30
32000,White,Male,66,16,33
10000,White,Female,69,14,32
7000,White,Male,69,16,30
28000,White,Male,71,17,46
60000,White,Male,74,13,54
12000,White,Male,69,4,62
15000,White,Male,72,11,63
26000,White,Female,64,15,32
26000,Hispanic,Male,72,16,25
18720,Black,Female,63,10,36
80000,White,Male,70,17,39
48000,White,Female,66,13,39
18000,Other,Male,62,16,27
35000,Black,Female,64,12,47
5000,White,Male,69,16,22
9000,Hispanic,Female,64,13,22
30000,White,Female,67,16,27
80000,White,Male,72,14,58
35000,White,Female,65,16,32
12000,White,Female,63,14,34
2.00E+05,White,Male,70,18,34
4000,White,Female,64,16,45
2000,White,Male,68,12,18
2000,Hispanic,Male,66,15,23
15000,White,Male,70,17,30
1500,Hispanic,Female,66,12,21
28000,White,Female,64,18,48
9000,White,Female,70,12,35
60000,White,Male,74,14,52
1200,White,Male,66,12,19
1400,Hispanic,Female,62,3,64
7000,White,Female,66,13,43
21000,White,Female,62,12,31
44000,White,Male,69,12,58
29000,Black,Male,68,16,36
3000,Hispanic,Male,72,14,18
12000,Black,Male,64,13,22
20000,Hispanic,Male,72,12,28
37000,White,Male,74,16,25
